项目ID,项目名称,项目网址,审核状态,是否公开
4069387,deberta_v2_xlarge,https://gitcode.com/openMind/deberta_v2_xlarge,2,1
4072266,resnet_50,https://gitcode.com/openMind/resnet_50,2,1
4072285,tapas_base_finetuned_wtq,https://gitcode.com/openMind/tapas_base_finetuned_wtq,2,1
4072270,roberta_base_squad2,https://gitcode.com/openMind/roberta_base_squad2,2,1
4072272,SDXL-Lightning,https://gitcode.com/openMind/SDXL-Lightning,2,1
4072282,t5_base,https://gitcode.com/openMind/t5_base,2,1
4072277,siglip_so400m_patch14_384,https://gitcode.com/openMind/siglip_so400m_patch14_384,2,1
4072278,stable_diffusion_v1_5,https://gitcode.com/openMind/stable_diffusion_v1_5,2,1
4072291,xglm_564m,https://gitcode.com/openMind/xglm_564m,2,1
4072296,xlnet_base_cased,https://gitcode.com/openMind/xlnet_base_cased,2,1
4074693,baichuan2_13b_base_ms,https://gitcode.com/openMind/baichuan2_13b_base_ms,2,1
4074703,convnext_ms,https://gitcode.com/openMind/convnext_ms,2,1
4074732,glm2_6b_ms,https://gitcode.com/openMind/glm2_6b_ms,2,1
4074734,glm3_6b_ms,https://gitcode.com/openMind/glm3_6b_ms,2,1
4074736,googlenet_ms,https://gitcode.com/openMind/googlenet_ms,2,1
4074762,mobilenetv1_ms,https://gitcode.com/openMind/mobilenetv1_ms,2,1
4074764,mobilenetv2_ms,https://gitcode.com/openMind/mobilenetv2_ms,2,1
4074774,opensora-hpcai-1_0_ms,https://gitcode.com/openMind/opensora-hpcai-1_0_ms,2,1
4074787,stable-diffusion-xl-base-1_0_ms,https://gitcode.com/openMind/stable-diffusion-xl-base-1_0_ms,2,1
4074802,yolov4_ms,https://gitcode.com/openMind/yolov4_ms,2,1
4074810,yolox_ms,https://gitcode.com/openMind/yolox_ms,2,1
4074665,vit_base_patch16_224,https://gitcode.com/openMind/vit_base_patch16_224,2,1
4074726,efficientnet_ms,https://gitcode.com/openMind/efficientnet_ms,2,1
4074745,inceptionv4_ms,https://gitcode.com/openMind/inceptionv4_ms,2,1
4074756,llama_7b_ms,https://gitcode.com/openMind/llama_7b_ms,2,1
4074709,convnextv2_ms,https://gitcode.com/openMind/convnextv2_ms,2,1
4074716,densenet_ms,https://gitcode.com/openMind/densenet_ms,2,1
4074750,internlm_7b_base_ms,https://gitcode.com/openMind/internlm_7b_base_ms,2,1
4074754,internlm_7b_chat_ms,https://gitcode.com/openMind/internlm_7b_chat_ms,2,1
4074769,mobilevit_ms,https://gitcode.com/openMind/mobilevit_ms,2,1
4086062,resnet50_ms,https://gitcode.com/MooYeh/resnet50_ms,2,1
6742131,vision,https://gitcode.com/FlashAI/vision,2,1
4837020,通义千问,https://gitcode.com/FlashAI/qwen,2,1
5312820,qwen3,https://gitcode.com/FlashAI/qwen3,2,1
4885145,gemma3,https://gitcode.com/FlashAI/gemma3,2,1
5073522,convert-lite,https://gitcode.com/FlashAI/convert-lite,2,1
5084091,flashai-convert,https://gitcode.com/FlashAI/flashai-convert,2,1
4716346,deepseek,https://gitcode.com/FlashAI/deepseek,2,1
4802101,server,https://gitcode.com/FlashAI/server,2,1
7658698,Hunyuan3D-Part,https://gitcode.com/tencent_hunyuan/Hunyuan3D-Part,2,1
7653435,Hunyuan3D-Omni,https://gitcode.com/tencent_hunyuan/Hunyuan3D-Omni,2,1
7504623,openPangu-Embedded-7B-V1.1,https://gitcode.com/ascend-tribe/openPangu-Embedded-7B-V1.1,2,1
7478739,openPangu-Embedded-1B-V1.1,https://gitcode.com/ascend-tribe/openPangu-Embedded-1B-V1.1,2,1
